Date,Real,Predição
2017-05-31,2.689482927322388,2.9352334
2017-06-01,2.644658088684082,2.6907315
2017-06-02,2.644658088684082,2.666835
2017-06-05,2.671552896499634,2.6738946
2017-06-06,2.716377019882202,2.6673284
2017-06-07,2.689482927322388,2.695201
2017-06-08,2.725342035293579,2.692311
2017-06-09,2.6805179119110107,2.7419868
2017-06-12,2.716377019882202,2.6689372
2017-06-13,2.662587881088257,2.7045662
2017-06-14,2.689482927322388,2.6638258
2017-06-15,2.689482927322388,2.6768646
2017-06-16,2.662587881088257,2.6926222
2017-06-19,2.653623104095459,2.6547334
2017-06-20,2.563972949981689,2.6605718
2017-06-21,2.581902980804444,2.544838
2017-06-22,2.537079095840454,2.592634
2017-06-23,2.537079095840454,2.5462382
2017-06-26,2.5101840496063232,2.5448635
2017-06-27,2.5101840496063232,2.5169072
2017-06-28,2.528114080429077,2.5184455
2017-06-29,2.5460429191589355,2.5233762
2017-06-30,2.5191490650177,2.555394
2017-07-03,2.5729379653930664,2.507809
2017-07-04,2.5550079345703125,2.582735
2017-07-05,2.5460429191589355,2.5678456
2017-07-06,2.581902980804444,2.555394
2017-07-07,2.5191490650177,2.5903454
2017-07-10,2.5012190341949463,2.5221493
2017-07-11,2.689482927322388,2.5057735
2017-07-12,2.581902980804444,2.6926222
2017-07-13,2.581902980804444,2.5875728
2017-07-14,2.653623104095459,2.5837493
2017-07-17,2.617763042449951,2.6552477
2017-07-18,2.5998330116271973,2.6453805
2017-07-19,2.5729379653930664,2.6231482
2017-07-20,2.581902980804444,2.5734756
2017-07-21,2.581902980804444,2.579848
2017-07-24,2.608798027038574,2.58402
2017-07-25,2.608798027038574,2.6081452
2017-07-26,2.5998330116271973,2.604537
2017-07-27,2.671552896499634,2.5992231
2017-07-28,2.7880969047546387,2.6758666
2017-07-31,2.698446989059448,2.7821422
2017-08-01,2.644658088684082,2.6963544
2017-08-02,2.689482927322388,2.6687481
2017-08-03,2.716377019882202,2.6911178
2017-08-04,2.8149919509887686,2.6981025
2017-08-07,2.823956966400146,2.8114872
2017-08-08,2.8060269355773926,2.8558066
2017-08-09,2.743272066116333,2.8117275
2017-08-10,2.698446989059448,2.744027
2017-08-11,2.689482927322388,2.6965685
2017-08-14,2.725342035293579,2.6816244
2017-08-15,2.904640913009644,2.7331822
2017-08-16,2.985326051712036,2.921205
2017-08-17,2.922570943832397,3.0054467
2017-08-18,2.9315359592437744,2.941305
2017-08-21,2.8149919509887686,2.90158
2017-08-22,2.7701671123504634,2.8373282
2017-08-23,2.761202096939087,2.7749941
2017-08-24,2.9494659900665283,2.773472
2017-08-25,2.940500974655152,2.8781698
2017-08-28,3.1377298831939697,2.8781698
2017-08-29,3.0480799674987797,2.983733
2017-08-30,3.0122210979461674,3.0183759
2017-08-31,2.985326051712036,3.020233
2017-09-01,3.1556599140167245,2.9923925
2017-09-04,3.07497501373291,2.9728105
2017-09-05,3.092905044555664,3.020626
2017-09-06,3.1646249294281006,3.1048346
2017-09-07,3.1646249294281006,2.9828384
2017-09-08,3.021184921264649,2.985342
2017-09-11,3.07497501373291,3.0091014
2017-09-12,3.057044982910156,3.0192714
2017-09-13,3.0391149520874023,3.020626
2017-09-14,3.0122210979461674,3.007832
2017-09-15,3.0301499366760254,3.0179827
2017-09-18,3.0391149520874023,3.0183759
2017-09-19,3.021184921264649,3.020626
2017-09-20,3.066009998321533,3.0188785
2017-09-21,2.985326051712036,3.0183759
2017-09-22,3.021184921264649,3.0029829
2017-09-25,3.00325608253479,3.020233
2017-09-26,3.182554006576538,3.0059266
2017-09-27,2.985326051712036,2.9838512
2017-09-28,2.9315359592437744,2.9888952
2017-09-29,2.9136059284210205,2.863884
2017-10-02,2.9136059284210205,2.9327693
2017-10-03,2.922570943832397,2.933665
2017-10-04,2.904640913009644,2.941305
2017-10-05,2.9136059284210205,2.904032
2017-10-06,3.0122210979461674,2.8969715
2017-10-09,2.940500974655152,3.0059266
2017-10-10,2.9494659900665283,2.9014704
2017-10-11,2.994291067123413,2.874877
2017-10-12,2.994291067123413,2.9977362
2017-10-13,3.021184921264649,2.9828565
2017-10-16,2.9494659900665283,3.020233
2017-10-17,3.00325608253479,2.8848765
2017-10-18,3.0391149520874023,3.020233
2017-10-19,2.9673960208892822,3.0056896
2017-10-20,2.9494659900665283,2.8850372
2017-10-23,2.9315359592437744,2.8967693
2017-10-24,2.9763610363006596,2.863884
2017-10-25,2.9315359592437744,2.8917904
2017-10-26,2.940500974655152,2.8993301
2017-10-27,2.8867108821868896,2.901256
2017-10-30,2.823956966400146,2.862201
2017-10-31,2.7791318893432617,2.8371086
2017-11-03,2.7791318893432617,2.7705941
2017-11-06,2.698446989059448,2.7785575
2017-11-07,2.635693073272705,2.6908004
2017-11-08,2.608798027038574,2.6127381
2017-11-13,2.635693073272705,2.6028244
2017-11-14,2.4922540187835693,2.6127381
2017-11-15,2.4922540187835693,2.5021348
2017-11-16,2.5908679962158203,2.5021348
2017-11-20,2.617763042449951,2.5956872
2017-11-21,2.617763042449951,2.6368363
2017-11-22,2.5908679962158203,2.6368363
2017-11-23,2.581902980804444,2.5932283
2017-11-24,2.608798027038574,2.5912473
2017-11-27,2.528114080429077,2.6077027
2017-11-28,2.5908679962158203,2.5258918
2017-11-29,2.707412004470825,2.6213253
2017-11-30,2.707412004470825,2.7048552
